"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
1,982.559884448105,1,2,0,2,1,1,95668.8593738033,10209102003010,2018,2,49320,33748,102091,3,0
1,982.559884448105,1,4,2,2,0,1,99592.9485446812,10209102003015,2018,3,49320,33748,102091,3,0
1,982.559884448105,1,6,4,2,0,1,81192.8666549587,10209102003024,2018,3,49320,33748,102091,3,0
1,982.559884448105,1,5,1,4,0,2,109827.319588018,10209102003028,2018,1,49320,33748,102091,3,0
1,982.559884448105,1,2,0,2,0,1,192951.212676433,10209102003033,2018,1,49320,33748,102091,3,0
1,982.559884448105,1,5,2,3,0,2,63928.3453759141,10209102003037,2018,2,49320,33748,102091,3,0
1,982.559884448105,1,4,2,2,0,1,149608.001978305,10209102003046,2018,3,49320,33748,102091,3,0
1,982.559884448105,1,5,2,3,0,1,78157.3396122989,10209102003051,2018,3,49320,33748,102091,3,0
1,982.559884448105,1,4,2,2,0,1,54949.9969579305,10209102003060,2018,3,49320,33748,102091,3,0
1,982.559884448105,1,2,0,2,0,1,116746.750510511,10209102003064,2018,2,49320,33748,102091,3,0
1,1114.545540568,1,4,3,1,1,2,102116.979882521,10215102014002,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,3,2,1,0,2,72282.7885457282,10215102014008,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,6,3,3,0,1,59474.1742856719,10215102014013,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,4,2,2,1,2,64484.1093392828,10215102014018,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,3,1,2,0,1,79079.1023320116,10215102014021,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,5,2,3,0,1,140946.531646845,10215102014028,2018,3,49320,33748,102151,3,0
1,1114.545540568,1,3,1,2,0,1,156283.697604922,10215102014033,2018,3,49320,33748,102151,3,0
1,1114.545540568,1,5,3,2,0,1,78458.8477554947,10215102014043,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,2,0,2,2,1,122034.547322114,10215102014053,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,3,2,1,0,2,79564.9143964055,10215102014058,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,4,2,2,1,2,61435.5701626953,10215102014063,2018,1,49320,33748,102151,3,0
1,1114.545540568,1,2,0,2,0,1,77137.9349127038,10215102014073,2018,1,49320,33748,102151,3,0
1,615.933061892842,1,7,3,4,0,1,145280.184090997,10225101011003,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,5,2,3,0,1,73576.7431218774,10225101011005,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,3,1,2,0,1,230179.676969186,10225101011008,2018,4,49320,33748,102251,3,0
1,615.933061892842,1,4,1,3,0,1,149695.680040476,10225101011011,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,5,2,3,0,1,68774.5603724091,10225101011013,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,3,1,2,1,1,64741.1482397781,10225101011019,2018,1,49320,33748,102251,3,0
1,615.933061892842,1,6,4,2,0,1,65914.4871187357,10225101011022,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,6,2,4,0,1,39663.377469442,10225101011025,2018,3,49320,33748,102251,3,1
1,615.933061892842,1,7,3,4,0,1,25103.4111951169,10225101011031,2018,3,49320,33748,102251,3,1
1,615.933061892842,1,2,0,2,0,2,60084.3246000975,10225101011033,2018,3,49320,33748,102251,3,0
1,615.933061892842,1,3,1,2,0,1,66481.5276722001,10225101011036,2018,4,49320,33748,102251,3,0
1,615.933061892842,1,3,1,2,0,1,128520.24052193,10225101011042,2018,3,49320,33748,102251,3,0
2,1651.05509972139,1,6,4,2,0,1,238397.715614158,10301301305002,2018,5,49320,33748,103013,3,0
2,1651.05509972139,1,4,0,4,1,1,43269.3530944832,10301301305010,2018,3,49320,33748,103013,3,1
2,1651.05509972139,1,2,0,2,0,1,91664.9344871989,10301301305018,2018,3,49320,33748,103013,3,0
2,1651.05509972139,1,5,3,2,0,1,54101.9214898893,10301301305027,2018,4,49320,33748,103013,3,0
2,1651.05509972139,1,2,0,2,0,1,154546.768121819,10301301305038,2018,5,49320,33748,103013,3,0
2,1651.05509972139,1,1,0,1,1,1,113408.691539615,10301301305044,2018,2,49320,33748,103013,3,0
