"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","year","educlevel_hhh","hhid","CLUSTER","hhh_main_activity","povline","food_povline","below_pov"
2,414.968580660276,1,3,1,2,0,2,171722.222562414,2012,4,11233328001,3,4,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,117764.315149012,2012,5,11233328007,3,4,36482,26085,0
2,414.968580660276,1,6,1,5,0,1,85283.8941434109,2012,3,11233328009,3,4,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,238777.050589993,2012,4,11233328011,3,4,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,87690.70000229,2012,3,11233328013,3,4,36482,26085,0
2,414.968580660276,1,8,2,6,0,1,218914.898518501,2012,5,11233328015,3,4,36482,26085,0
2,414.968580660276,1,10,4,6,0,1,112458.894678465,2012,5,11233328017,3,4,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,120602.054195415,2012,3,11233328019,3,4,36482,26085,0
2,414.968580660276,1,5,3,2,0,2,61664.0407516176,2012,4,11233328022,3,NA,36482,26085,0
2,414.968580660276,1,8,2,6,0,1,133570.037893285,2012,3,11233328028,3,4,36482,26085,0
2,414.968580660276,1,5,2,3,0,2,29049.9093474474,2012,3,11233328030,3,2,36482,26085,1
2,414.968580660276,1,6,3,3,0,1,77185.3864654284,2012,4,11233328031,3,2,36482,26085,0
2,414.968580660276,1,10,5,5,0,1,66714.2054088895,2012,4,11233328032,3,2,36482,26085,0
2,414.968580660276,1,4,3,1,0,2,128324.773754129,2012,2,11233328034,3,2,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,54273.5471578847,2012,3,11233328035,3,2,36482,26085,0
2,414.968580660276,1,8,4,4,0,1,166115.193640213,2012,4,11233328036,3,4,36482,26085,0
2,414.968580660276,1,7,1,6,0,1,158277.072072937,2012,4,11233328038,3,4,36482,26085,0
2,414.968580660276,1,7,4,3,0,1,79435.2494514551,2012,4,11233328040,3,2,36482,26085,0
2,414.968580660276,1,4,2,2,0,1,95267.1279605422,2012,4,11233328041,3,4,36482,26085,0
2,414.968580660276,1,1,0,1,0,2,79064.473418091,2012,3,11233328049,3,4,36482,26085,0
2,414.968580660276,1,1,0,1,0,2,181822.957955584,2012,2,11233328051,3,1,36482,26085,0
2,414.968580660276,1,4,0,4,1,1,76473.5953447102,2012,5,11233328055,3,NA,36482,26085,0
2,414.968580660276,1,4,2,2,0,1,42995.3991990089,2012,3,11233328059,3,2,36482,26085,0
2,414.968580660276,1,6,3,3,0,1,247240.224559481,2012,4,11233328061,3,4,36482,26085,0
1,1015.97667163394,1,8,1,7,0,1,29531.6793495439,2012,4,11351011012,4,4,36482,26085,1
1,1015.97667163394,1,2,1,1,1,2,108649.887958423,2012,2,11351011021,4,1,36482,26085,0
1,1015.97667163394,1,7,2,5,0,1,17365.5340411454,2012,2,11351011029,4,1,36482,26085,1
1,1015.97667163394,1,5,3,2,0,1,50983.1058351474,2012,3,11351011038,4,1,36482,26085,0
1,1015.97667163394,1,2,0,2,0,1,117516.302832536,2012,3,11351011047,4,1,36482,26085,0
1,1015.97667163394,1,14,8,6,0,1,24692.4509383105,2012,3,11351011055,4,1,36482,26085,1
1,1015.97667163394,1,1,0,1,1,2,43012.427088483,2012,1,11351011073,4,1,36482,26085,0
1,1015.97667163394,1,5,1,4,1,1,51624.2883563734,2012,1,11351011082,4,1,36482,26085,0
1,1015.97667163394,1,3,1,2,0,1,34656.8244057157,2012,2,11351011090,4,1,36482,26085,1
1,1015.97667163394,1,3,1,2,0,1,45314.5778705778,2012,3,11351011099,4,1,36482,26085,0
1,1015.97667163394,1,3,1,2,1,2,31872.9793218352,2012,1,11351011108,4,1,36482,26085,1
1,1015.97667163394,1,3,1,2,0,2,29812.8450292451,2012,1,11351011116,4,1,36482,26085,1
1,1015.97667163394,1,3,1,2,0,1,45089.1363989521,2012,3,11351011117,4,1,36482,26085,0
1,1015.97667163394,1,7,3,4,0,1,26989.4085121784,2012,2,11351011125,4,1,36482,26085,1
1,1015.97667163394,1,5,0,5,0,2,46906.6676045151,2012,3,11351011142,4,1,36482,26085,0
1,1015.97667163394,1,6,2,4,1,2,22380.802649729,2012,3,11351011151,4,1,36482,26085,1
1,1015.97667163394,1,4,2,2,0,1,41868.9652246067,2012,3,11351011160,4,1,36482,26085,0
1,1015.97667163394,1,4,2,2,0,1,24585.8246998007,2012,3,11351011169,4,1,36482,26085,1
1,1015.97667163394,1,2,0,2,1,1,75755.5598301685,2012,3,11351011186,4,1,36482,26085,0
1,1015.97667163394,1,11,5,6,0,1,41271.6117651506,2012,3,11351011195,4,1,36482,26085,0
1,1015.97667163394,1,4,1,3,0,1,32020.9210878379,2012,4,11351011203,4,1,36482,26085,1
1,1015.97667163394,1,5,3,2,0,1,32691.8168492421,2012,1,11351011212,4,1,36482,26085,1
1,1015.97667163394,1,10,6,4,0,1,28742.185640641,2012,2,11351011221,4,1,36482,26085,1
1,1015.97667163394,1,4,2,2,0,1,117615.932883257,2012,3,11351011229,4,1,36482,26085,0
1,1015.97667163394,1,3,1,2,0,1,36647.0446558752,2012,3,11351011247,4,3,36482,26085,0
1,1015.97667163394,1,4,2,2,0,2,41565.6542680756,2012,2,11351011256,4,1,36482,26085,0
1,1061.43831507929,1,6,2,4,0,1,19377.2623713735,2012,3,12101052003,5,1,36482,26085,1
1,1061.43831507929,1,4,2,2,0,1,28706.0056389077,2012,1,12101052008,5,1,36482,26085,1
1,1061.43831507929,1,3,1,2,0,1,46978.7033414053,2012,3,12101052014,5,1,36482,26085,0
1,1061.43831507929,1,6,3,3,0,1,35539.2069414789,2012,2,12101052021,5,1,36482,26085,1
1,1061.43831507929,1,2,0,2,0,2,37994.6529929189,2012,1,12101052027,5,1,36482,26085,0
1,1061.43831507929,1,8,4,4,0,1,27288.9051211471,2012,2,12101052034,5,1,36482,26085,1
